area_name,origin_station,time_threshold_min,station_id,station_name,line_name,travel_time_min,lon,lat,x,y
pangyo_1st_technovalley,판교역,60,424,충정로,서울2호선,48.266667,126.96455152782552,37.55978849820035,196867.95402629187,551140.4960266006
pangyo_1st_technovalley,판교역,60,104,중랑,경의중앙선,48.316667,127.07606632960596,37.59489448479159,206717.67826652178,555038.9864462641
pangyo_1st_technovalley,판교역,60,126,청량리,경춘선,48.316667,127.04829370607256,37.58079723729941,204265.78694694155,553472.7273579128
pangyo_1st_technovalley,판교역,60,198,보라매공원,신림선,48.366667,126.91835147318744,37.49484403914921,192779.6957165333,543935.0103846987
pangyo_1st_technovalley,판교역,60,68,여의도,신안산선,48.383333,126.92370590517274,37.521944684340674,193255.63507357487,546942.4384202695
pangyo_1st_technovalley,판교역,60,655,안암,서울6호선,48.433333,127.02929395773252,37.5863062738596,202587.34692642672,554083.4746830022
pangyo_1st_technovalley,판교역,60,216,마장시장,동북선,48.733333,127.03765703005344,37.57016697054961,203326.72132263792,552292.4605772302
pangyo_1st_technovalley,판교역,60,416,관악,서울1호선,48.833333,126.90851780967428,37.41954901729251,191901.97488334586,535579.0966395587
pangyo_1st_technovalley,판교역,60,429,합정,서울2호선,48.883333,126.91445817881906,37.54996227477751,192440.96847214637,550052.7508267201
pangyo_1st_technovalley,판교역,60,561,수유,서울4호선,48.916667,127.02571600748053,37.63809871993018,202269.75494150945,559831.7819308639
pangyo_1st_technovalley,판교역,60,182,보문,우이신설경전철,49.033333,127.01953404635904,37.585078336625045,201725.34504132075,553946.9635372028
pangyo_1st_technovalley,판교역,60,872,가양,서울9호선급행,49.05,126.8544312699492,37.56163536897295,187138.6044958321,551354.8462319784
pangyo_1st_technovalley,판교역,60,582,양평_5호선,서울5호선,49.05,126.88648056471555,37.52556503730169,189965.4150704361,547347.5724137559
pangyo_1st_technovalley,판교역,60,708,먹골,서울7호선,49.083333,127.07778617847124,37.610485250024645,206868.130573053,556769.5142712035
pangyo_1st_technovalley,판교역,60,592,서대문,서울5호선,49.1,126.96661225423097,37.565725362966354,197050.2633736441,551799.3514299622
pangyo_1st_technovalley,판교역,60,643,효창공원앞,서울6호선,49.266667,126.96134445964933,37.539278690543526,196583.65787769228,548864.2656790648
pangyo_1st_technovalley,판교역,60,779,중앙보훈병원,서울9호선,49.383333,127.14848157270966,37.52860977620455,213124.5418217269,547689.8048689549
pangyo_1st_technovalley,판교역,60,218,고려대,동북선,49.383333,127.03631477312474,37.58996899999237,203207.29325894406,554490.2124637634
pangyo_1st_technovalley,판교역,60,432,문래,서울2호선,49.383333,126.8948748555422,37.518260755852666,190706.52524078867,546536.0261076501
pangyo_1st_technovalley,판교역,60,556,한성대입구,서울4호선,49.433333,127.00617856974324,37.58849271957477,200545.69736918723,554325.7599228559
pangyo_1st_technovalley,판교역,60,342,구로,서울1호선,49.466667,126.88231503887692,37.50335353704898,189594.1185430766,544882.8289372745
pangyo_1st_technovalley,판교역,60,34,부발,경강선,49.5,127.49035843730856,37.26030423134139,243498.52712845575,518014.23763337446
